"DATA SOURCE: US Census Bureau QuickFacts, https://www.census.gov/quickfacts/fact/table/US/PST045218",,,,,,,,,
City,State,2018 Population,Population Change (2010-2018 est) - weighted 40%,In Civilian Labor Force - weighted 10%,Median Household Income - weighted 10%,Persons Without Health Insurance - weighted 15%,Median Commute Time - weighted 15%,Percent in Poverty - weighted 10%,WEIGHTED Z-SCORE
Pontiac,Michigan,"59,772",0.20%,62.60%,"$31,401.00",16.20%,21.7,34.10%,-0.727871723
Monroe,Louisiana,"47,877",-2.10%,56.50%,"$29,014.00",15.40%,14.3,34.80%,-0.719357937
Birmingham,Alabama,"209,880",-1.00%,60.10%,"$33,770.00",15.90%,21.5,28.10%,-0.718296373
Hesperia,California,"95,274",5.70%,56.40%,"$49,726.00",12.40%,37.2,22.50%,-0.716279375
Inglewood,California,"109,419",-0.20%,67.20%,"$46,389.00",18.40%,30.4,20.10%,-0.714708755
Paramount,California,"54,387",0.50%,62.90%,"$49,064.00",18.40%,29,20.30%,-0.714465643
La Puente,California,"39,908",0.20%,63.40%,"$60,019.00",18.90%,31.2,18.00%,-0.711002441
Mobile,Alabama,"189,572",-2.60%,57.10%,"$40,020.00",14.70%,21.9,22.40%,-0.71083197
Baltimore,Maryland,"602,495",-3.00%,61.40%,"$46,641.00",9.00%,30.7,22.40%,-0.709199379
Binghamton,New York,"44,785",-5.50%,55.00%,"$31,103.00",7.30%,17,33.30%,-0.706372011
Victorville,California,"122,312",5.50%,54.70%,"$47,895.00",12.40%,34.7,23.30%,-0.704335244
York,Pennsylvania,"44,118",0.70%,61.70%,"$29,834.00",14.10%,21.9,35.80%,-0.703485159
Mission,Texas,"84,827",9.20%,57.70%,"$45,792.00",33.00%,20.8,24.30%,-0.701008578
Bullhead City,Arizona,"40,421",2.20%,46.10%,"$38,983.00",18.30%,19,19.30%,-0.700770657
Decatur,Alabama,"54,264",-2.70%,56.80%,"$43,176.00",15.80%,20.9,21.80%,-0.700102791
New York,New York,"8,398,748",2.70%,63.50%,"$57,782.00",11.10%,40.8,19.60%,-0.698654028
Hartford,Connecticut,"122,587",-1.70%,61.50%,"$33,841.00",12.20%,23,30.50%,-0.694066838
Valdosta,Georgia,"56,426",3.00%,58.90%,"$31,701.00",20.80%,18.4,32.20%,-0.693173183
Laredo,Texas,"261,639",11.00%,58.30%,"$41,302.00",31.50%,21.2,30.60%,-0.69252374
Philadelphia,Pennsylvania,"1,584,138",3.80%,59.60%,"$40,649.00",12.00%,32.9,25.80%,-0.690257743
Chicago,Illinois,"2,705,994",0.40%,66.30%,"$52,497.00",14.20%,34.6,20.60%,-0.689093598
Pharr,Texas,"79,707",13.10%,57.80%,"$39,445.00",35.20%,20.3,29.40%,-0.688176269
Hattiesburg,Mississippi,"45,951",0.40%,63.00%,"$32,009.00",18.90%,17.5,34.70%,-0.677182613
Waukegan,Illinois,"86,792",-2.60%,70.50%,"$48,551.00",21.10%,26.2,17.80%,-0.66971992
Hempstead,New York,"55,255",2.30%,67.00%,"$58,476.00",20.40%,32.1,20.20%,-0.668597742
Muncie,Indiana,"68,529",-2.40%,59.20%,"$32,372.00",12.80%,18.9,29.90%,-0.665538287
Baton Rouge,Louisiana,"221,599",-3.40%,63.40%,"$40,948.00",14.60%,21.4,26.00%,-0.658565798
Pomona,California,"152,361",2.20%,63.10%,"$53,281.00",18.00%,30.2,20.70%,-0.655561988
Canton,Ohio,"70,458",-3.50%,62.40%,"$30,837.00",10.30%,20.3,31.70%,-0.654002191
State College,Pennsylvania,"42,352",0.90%,46.40%,"$33,735.00",5.00%,16.4,43.70%,-0.652614869
Dearborn,Michigan,"94,333",-3.90%,56.20%,"$50,329.00",9.70%,20.7,29.10%,-0.649119581
Augusta-Richmond County,Georgia,"196,939",0.60%,55.90%,"$39,258.00",16.50%,20.2,24.40%,-0.641636472
Mesquite,Texas,"142,816",2.30%,69.40%,"$52,167.00",23.40%,31.3,14.30%,-0.641433952
Monterey Park,California,"60,401",0.30%,56.20%,"$55,117.00",12.40%,30.6,15.80%,-0.64126777
Homestead,Florida,"70,477",16.00%,64.40%,"$43,150.00",26.50%,36.9,27.10%,-0.639498048
Memphis,Tennessee,"650,618",-0.20%,63.50%,"$38,230.00",17.30%,21.7,26.90%,-0.638594073
Sumter,South Carolina,"39,656",-2.10%,54.80%,"$38,562.00",14.10%,19.3,20.80%,-0.634592011
Baldwin Park,California,"75,813",0.60%,62.60%,"$57,209.00",17.20%,30.9,14.90%,-0.633585606
Dearborn Heights,Michigan,"55,616",-3.70%,56.90%,"$47,794.00",10.80%,23.6,19.20%,-0.626459384
Perth Amboy,New Jersey,"51,928",2.20%,62.70%,"$50,883.00",22.90%,23.7,20.50%,-0.625360638
Bridgeport,Connecticut,"144,900",0.50%,67.80%,"$44,841.00",17.70%,28.4,20.80%,-0.623859666
Lawton,Oklahoma,"92,859",-4.10%,54.60%,"$44,335.00",16.70%,14.9,19.20%,-0.617798971
Berwyn,Illinois,"54,917",-3.10%,67.90%,"$59,801.00",14.40%,32.6,12.80%,-0.617789073
Waterbury,Connecticut,"108,093",-2.00%,61.10%,"$40,879.00",11.40%,24.2,24.30%,-0.616822641
Roswell,New Mexico,"47,635",-1.60%,57.40%,"$42,417.00",16.70%,19,21.00%,-0.616427551
Alexandria,Louisiana,"46,776",-2.40%,55.90%,"$36,997.00",14.50%,17.6,22.10%,-0.61556727
Galveston,Texas,"50,457",5.70%,57.30%,"$42,486.00",24.70%,20.6,22.60%,-0.613908818
Elizabeth,New Jersey,"128,885",3.10%,69.10%,"$45,186.00",25.30%,26.4,18.10%,-0.613908503
Bayonne,New Jersey,"65,083",3.30%,62.10%,"$56,701.00",14.70%,35.3,15.70%,-0.605631242
Toledo,Ohio,"274,975",-4.30%,61.50%,"$35,808.00",10.30%,19.9,26.50%,-0.603332878
Beaumont,Texas,"118,428",1.00%,60.30%,"$45,268.00",23.40%,18.5,19.70%,-0.601698552
Wilkes-Barre,Pennsylvania,"40,806",-1.70%,56.10%,"$32,484.00",10.70%,18.1,28.60%,-0.600733421
Rosemead,California,"54,412",1.20%,58.30%,"$50,074.00",13.40%,28.8,18.00%,-0.600314988
Lauderhill,Florida,"72,094",7.70%,64.00%,"$38,805.00",20.90%,29.4,24.30%,-0.598622647
Norwalk,California,"105,120",-0.40%,61.70%,"$63,669.00",15.70%,30.5,13.90%,-0.595819512
Erie,Pennsylvania,"96,471",-5.20%,58.80%,"$35,802.00",9.30%,17.4,26.80%,-0.594216467
Elkhart,Indiana,"52,367",0.80%,63.20%,"$37,121.00",19.90%,19.2,24.80%,-0.58729113
Oak Lawn,Illinois,"55,511",-2.10%,62.20%,"$61,398.00",9.40%,35.6,9.90%,-0.584999072
McAllen,Texas,"143,433",9.00%,60.70%,"$45,057.00",30.50%,19.9,25.20%,-0.5848927
North Lauderdale,Florida,"44,391",8.00%,72.10%,"$41,841.00",27.50%,29,23.30%,-0.584752037
Calexico,California,"40,139",4.10%,55.90%,"$38,015.00",16.40%,22.4,25.30%,-0.58393159
Euclid,Ohio,"46,946",-4.00%,62.50%,"$37,141.00",7.90%,24.8,21.90%,-0.581408072
Porterville,California,"59,988",3.20%,56.30%,"$39,909.00",13.30%,22.3,30.10%,-0.577890753
Harrisburg,Pennsylvania,"49,229",-0.60%,64.80%,"$35,300.00",14.70%,20.3,29.90%,-0.577672123
Syracuse,New York,"142,749",-1.70%,56.40%,"$34,716.00",8.10%,18.4,32.60%,-0.575270821
Terre Haute,Indiana,"60,753",-0.10%,55.30%,"$34,746.00",13.40%,17.8,26.00%,-0.574784359
El Paso,Texas,"682,669",5.30%,59.30%,"$44,431.00",23.10%,22.7,20.30%,-0.573071591
Bellflower,California,"77,131",0.70%,62.70%,"$52,944.00",15.20%,30,14.80%,-0.571388739
Pico Rivera,California,"62,888",-0.10%,61.70%,"$61,586.00",15.80%,30.9,10.60%,-0.567416331
East Lansing,Michigan,"47,988",-1.20%,54.00%,"$37,433.00",5.50%,15.6,42.50%,-0.563977347
Biloxi,Mississippi,"45,968",3.90%,55.60%,"$43,632.00",20.40%,19.4,22.70%,-0.56350966
Montgomery,Alabama,"198,218",-3.50%,60.70%,"$44,339.00",13.40%,19.4,22.10%,-0.562221546
Hamilton,Ohio,"62,174",-0.20%,59.70%,"$42,360.00",11.90%,25.4,20.20%,-0.562080527
Utica,New York,"60,100",-3.40%,57.30%,"$33,873.00",7.60%,17.4,30.40%,-0.561309265
Lompoc,California,"42,760",0.80%,59.70%,"$49,074.00",15.00%,24.6,20.80%,-0.56060161
Haltom City,Texas,"44,339",4.60%,67.80%,"$46,618.00",26.70%,25.2,16.60%,-0.560131759
Gulfport,Mississippi,"71,870",6.00%,60.20%,"$37,243.00",22.30%,21.2,24.90%,-0.559875728
Los Banos,California,"40,074",11.40%,60.90%,"$46,994.00",12.30%,42.1,21.70%,-0.55916058
Rochester,New York,"206,284",-2.10%,62.20%,"$32,347.00",8.20%,20.1,33.10%,-0.556842923
Norfolk,Virginia,"244,076",0.50%,56.60%,"$47,137.00",15.40%,21.2,21.00%,-0.555628773
Woonsocket,Rhode Island,"41,603",1.00%,59.90%,"$38,340.00",10.70%,25.5,24.40%,-0.554876212
Buffalo,New York,"256,304",-1.90%,59.40%,"$34,268.00",7.10%,20.9,30.90%,-0.554071519
San Jacinto,California,"48,867",10.50%,57.00%,"$48,025.00",16.10%,36.2,18.20%,-0.553279947
Charleston,West Virginia,"47,215",-8.00%,59.30%,"$45,797.00",9.60%,16.2,20.70%,-0.547392767
Allentown,Pennsylvania,"121,433",2.80%,62.50%,"$38,522.00",15.20%,23.6,27.30%,-0.544212907
Mount Vernon,New York,"67,593",0.40%,66.30%,"$54,573.00",11.30%,34.8,14.80%,-0.541207959
Kearny,New Jersey,"41,422",1.70%,64.50%,"$63,271.00",18.60%,31.1,11.70%,-0.536661966
DeKalb,Illinois,"42,611",-3.40%,66.50%,"$41,009.00",9.90%,21.1,30.80%,-0.536249728
Wichita Falls,Texas,"104,576",-0.10%,54.10%,"$44,285.00",18.40%,14.6,20.90%,-0.534730505
Deltona,Florida,"91,951",8.00%,57.40%,"$46,121.00",16.70%,32.5,15.60%,-0.534462682
Gardena,California,"59,721",1.50%,61.10%,"$50,807.00",15.10%,28,15.60%,-0.532778673
Lorain,Ohio,"64,028",-0.10%,58.80%,"$36,139.00",9.70%,22.5,25.40%,-0.531528674
Longview,Texas,"81,647",1.50%,61.40%,"$45,692.00",22.70%,18.6,18.30%,-0.530863058
Hagerstown,Maryland,"40,205",1.10%,63.40%,"$40,761.00",10.70%,26,27.20%,-0.528652257
Santa Ana,California,"332,725",2.40%,67.40%,"$57,151.00",22.50%,25.1,19.50%,-0.525871661
Springfield,Ohio,"59,282",-2.10%,59.30%,"$34,887.00",9.40%,19.6,25.60%,-0.521313938
Evansville,Indiana,"117,963",-1.80%,61.60%,"$36,956.00",13.70%,18.7,23.30%,-0.521176904
Rockford,Illinois,"146,526",-4.40%,62.60%,"$41,991.00",10.00%,20.6,22.20%,-0.519977673
Portsmouth,Virginia,"94,632",-0.90%,61.50%,"$48,727.00",14.00%,24.1,17.70%,-0.518892481
Independence,Missouri,"116,925",0.10%,61.40%,"$46,268.00",15.00%,24.8,16.00%,-0.518102489
Wilson,North Carolina,"49,329",0.30%,59.30%,"$41,037.00",15.30%,19.3,22.80%,-0.514443563
Niagara Falls,New York,"48,144",-4.00%,58.90%,"$33,965.00",6.40%,18.3,27.50%,-0.514369799
Yonkers,New York,"199,663",1.90%,63.10%,"$62,399.00",11.30%,34.3,16.40%,-0.510451388
Yuba City,California,"66,992",2.10%,58.60%,"$51,037.00",14.50%,26.1,17.60%,-0.510284646
Providence,Rhode Island,"179,335",0.80%,62.80%,"$40,366.00",12.50%,22.8,26.90%,-0.510012896
Milwaukee,Wisconsin,"592,025",-0.40%,65.00%,"$38,289.00",12.00%,22.4,27.40%,-0.509584309
Middletown,Ohio,"48,861",0.40%,60.80%,"$39,116.00",11.90%,22.4,24.10%,-0.504300645
Texas City,Texas,"49,153",9.00%,57.00%,"$42,882.00",21.80%,24,22.00%,-0.503148365
Akron,Ohio,"198,006",-0.60%,62.30%,"$36,223.00",11.80%,21.5,24.10%,-0.502934535
Altoona,Pennsylvania,"43,702",-5.00%,58.70%,"$38,592.00",7.50%,18,23.20%,-0.502476062
Weslaco,Texas,"41,171",12.00%,57.50%,"$37,558.00",25.40%,22.2,26.10%,-0.501949124
Fort Smith,Arkansas,"87,845",1.80%,58.30%,"$36,532.00",17.20%,16.3,25.80%,-0.501896126
Miami Beach,Florida,"91,718",4.50%,69.40%,"$50,193.00",24.50%,26.6,16.60%,-0.501591338
Deerfield Beach,Florida,"80,863",7.80%,62.50%,"$44,142.00",25.70%,24.3,17.30%,-0.500906881
Columbus,Georgia,"194,160",1.90%,56.80%,"$43,239.00",15.60%,20,21.70%,-0.500099524
Taylor,Michigan,"61,148",-3.10%,59.30%,"$44,435.00",8.90%,22.1,19.80%,-0.498562354
Covington,Kentucky,"40,366",-0.30%,64.30%,"$38,346.00",12.80%,22.1,24.70%,-0.497444348
Daytona Beach,Florida,"68,866",11.80%,52.40%,"$30,137.00",22.10%,19.4,28.10%,-0.494055366
Long Beach,California,"467,354",1.10%,65.90%,"$58,314.00",13.20%,30.4,19.10%,-0.490230123
Lakewood,Washington,"60,538",5.20%,55.70%,"$47,636.00",12.80%,28.1,19.30%,-0.488948032
South Bend,Indiana,"101,860",0.60%,64.40%,"$37,441.00",15.60%,19.9,25.40%,-0.488882538
Kansas City,Kansas,"152,958",4.90%,65.30%,"$41,671.00",22.90%,21.5,22.30%,-0.487393434
Pompano Beach,Florida,"111,954",12.10%,59.50%,"$44,756.00",26.50%,25.4,21.10%,-0.484530533
Rialto,California,"103,440",4.40%,63.70%,"$54,962.00",15.20%,31.4,17.90%,-0.483047963
Stonecrest,Georgia,"54,522",8.60%,69.50%,"$46,108.00",18.90%,36.1,17.40%,-0.482412739
Garland,Texas,"242,507",6.90%,68.80%,"$55,637.00",26.10%,28.6,15.70%,-0.481174629
Duncanville,Texas,"39,364",2.20%,64.90%,"$53,222.00",17.00%,27.9,15.80%,-0.480972882
Greenacres,Florida,"41,084",9.20%,65.60%,"$46,681.00",26.90%,27.3,16.10%,-0.480952652
San Gabriel,California,"40,335",1.70%,62.00%,"$55,939.00",15.40%,28.5,13.30%,-0.480527954
Los Angeles,California,"3,990,456",5.20%,66.30%,"$54,501.00",17.20%,30.9,20.40%,-0.480187751
Decatur,Illinois,"71,290",-6.40%,60.10%,"$41,977.00",8.20%,16.5,22.00%,-0.479761473
Lake Havasu City,Arizona,"55,090",4.90%,47.40%,"$47,424.00",17.70%,20.8,11.40%,-0.47849552
Apple Valley,California,"73,508",6.30%,52.10%,"$50,907.00",8.00%,32.7,18.10%,-0.477389767
New Haven,Connecticut,"130,418",0.40%,63.60%,"$39,191.00",11.40%,22.9,25.60%,-0.475545391
Florence,Alabama,"40,428",2.30%,55.00%,"$37,843.00",14.10%,18.6,22.20%,-0.470517481
Alhambra,California,"84,649",1.80%,60.80%,"$55,401.00",11.70%,30.1,15.10%,-0.468342564
Freeport,New York,"43,044",0.50%,64.20%,"$71,184.00",13.80%,32.2,12.60%,-0.467606565
Westminster,California,"90,938",1.50%,59.90%,"$57,575.00",12.40%,27.6,17.60%,-0.467145335
Baytown,Texas,"77,024",7.50%,63.30%,"$51,874.00",25.30%,24.8,17.30%,-0.466932313
Wilmington,Delaware,"70,635",-0.30%,59.80%,"$40,221.00",7.90%,22,27.00%,-0.464089106
Hawthorne,California,"86,965",3.20%,69.50%,"$47,636.00",18.20%,28.8,17.00%,-0.460849773
Tucson,Arizona,"545,975",3.70%,60.90%,"$39,617.00",15.30%,22.2,24.10%,-0.46020152
Newport News,Virginia,"178,626",-1.30%,61.90%,"$51,082.00",13.50%,23,16.40%,-0.459198761
Lancaster,Pennsylvania,"59,420",0.10%,66.10%,"$40,805.00",13.50%,21.2,26.50%,-0.457542016
Kingsport,Tennessee,"54,076",2.00%,53.30%,"$39,135.00",13.10%,18.8,20.00%,-0.457459777
Vineland,New Jersey,"59,966",-1.30%,61.50%,"$51,113.00",13.60%,22.5,16.50%,-0.456393857
Marietta,Georgia,"60,806",7.40%,70.20%,"$50,963.00",24.60%,28.3,19.00%,-0.453707689
Troy,New York,"49,374",-1.60%,61.30%,"$40,911.00",6.80%,22.3,26.10%,-0.452863901
Titusville,Florida,"46,497",6.60%,53.70%,"$42,561.00",15.80%,24.5,17.20%,-0.450400616
Hampton,Virginia,"134,313",-2.20%,61.10%,"$52,021.00",12.80%,22.4,14.90%,-0.449939282
Kokomo,Indiana,"57,869",-0.30%,58.40%,"$41,366.00",13.10%,18.7,20.40%,-0.449356393
Farmington,New Mexico,"44,788",-2.60%,61.30%,"$55,179.00",16.30%,18.1,16.80%,-0.446794253
Jersey City,New Jersey,"265,549",7.20%,67.90%,"$62,739.00",15.90%,36.8,18.70%,-0.44380555
Warren,Michigan,"134,587",0.40%,60.20%,"$45,611.00",10.10%,24.7,19.40%,-0.443075057
Miami,Florida,"470,914",17.90%,61.80%,"$33,999.00",27.80%,28.1,25.80%,-0.440596664
Antioch,California,"111,535",8.60%,63.40%,"$69,925.00",9.20%,45.4,14.60%,-0.440153018
Savannah,Georgia,"145,862",6.50%,61.80%,"$39,386.00",21.10%,20.2,24.00%,-0.437397714
Merced,California,"83,316",5.50%,57.90%,"$40,704.00",10.90%,23.6,30.20%,-0.436651108
Westland,Michigan,"81,720",-2.90%,64.00%,"$46,230.00",8.90%,25.7,14.60%,-0.436463223
Downey,California,"112,269",0.40%,65.90%,"$68,162.00",15.80%,30.2,10.70%,-0.432224536
Skokie,Illinois,"63,280",-2.40%,62.20%,"$70,544.00",10.70%,29.6,9.80%,-0.429899718
Hackensack,New Jersey,"44,522",3.50%,67.30%,"$59,277.00",16.70%,31.3,14.30%,-0.429238952
Montclair,California,"39,437",7.60%,62.70%,"$54,192.00",17.10%,31,18.20%,-0.426740223
El Cajon,California,"103,241",3.70%,62.50%,"$49,445.00",12.60%,26.7,23.00%,-0.425281292
Elyria,Ohio,"53,881",-1.20%,63.00%,"$42,067.00",10.00%,21.8,22.10%,-0.42507983
Cathedral City,California,"54,902",7.10%,59.50%,"$43,384.00",21.60%,20.8,20.70%,-0.424631515
Jackson,Tennessee,"66,903",0.10%,58.20%,"$40,398.00",11.80%,17.3,24.70%,-0.424046599
Pittsburgh,Pennsylvania,"301,048",-1.40%,62.90%,"$44,092.00",7.90%,23.8,22.00%,-0.422651531
Schenectady,New York,"65,575",-0.90%,60.40%,"$43,174.00",8.90%,22.2,21.00%,-0.421654927
Largo,Florida,"84,996",7.10%,58.00%,"$41,008.00",19.50%,23.9,15.10%,-0.420590954
Ocala,Florida,"60,429",6.80%,54.50%,"$39,238.00",17.90%,19.9,20.30%,-0.414846747
Battle Creek,Michigan,"51,247",-2.20%,59.70%,"$39,679.00",8.70%,18.5,22.60%,-0.414096875
Jacksonville,North Carolina,"72,896",3.90%,35.60%,"$41,549.00",8.60%,16,14.00%,-0.4117622
Clearwater,Florida,"116,478",6.80%,58.80%,"$45,631.00",19.30%,24.2,15.90%,-0.410003358
Stockton,California,"311,178",6.70%,59.20%,"$48,396.00",11.90%,29,22.40%,-0.409564738
Moreno Valley,California,"209,050",8.10%,63.80%,"$59,827.00",16.10%,34.3,16.80%,-0.408834877
Sarasota,Florida,"57,738",10.80%,54.90%,"$45,073.00",25.00%,20.4,18.60%,-0.408498561
West Covina,California,"106,311",0.20%,64.70%,"$74,551.00",11.20%,34,10.00%,-0.404761338
Buena Park,California,"82,421",2.20%,63.30%,"$71,005.00",13.80%,30.3,15.40%,-0.404547976
Houston,Texas,"2,325,502",11.10%,67.70%,"$49,399.00",26.40%,27,21.20%,-0.404255271
Cincinnati,Ohio,"302,605",1.90%,65.70%,"$36,429.00",10.50%,22.6,28.70%,-0.403843201
Roseville,Michigan,"47,377",0.10%,63.00%,"$43,341.00",10.40%,24.7,17.60%,-0.403529261
Garden Grove,California,"172,646",1.00%,63.70%,"$62,675.00",13.30%,27.7,15.80%,-0.403275369
Richmond,California,"110,146",6.70%,65.70%,"$61,045.00",15.30%,34.7,15.70%,-0.400138776
Madera,California,"65,706",7.00%,60.20%,"$40,731.00",13.90%,24.3,26.90%,-0.398047648
Colton,California,"54,741",5.00%,62.10%,"$47,256.00",15.00%,26.6,18.30%,-0.395947156
Whittier,California,"86,064",0.90%,62.90%,"$69,058.00",10.00%,32.7,12.10%,-0.394065739
Apache Junction,Arizona,"41,739",16.80%,43.90%,"$39,119.00",17.50%,26.6,20.40%,-0.389984347
Racine,Wisconsin,"77,432",-1.80%,64.30%,"$42,590.00",10.50%,21,20.00%,-0.389717475
Escondido,California,"152,213",5.70%,65.40%,"$58,834.00",19.50%,27.9,16.30%,-0.388214813
Dallas,Texas,"1,345,047",12.30%,68.30%,"$47,285.00",27.30%,26.8,21.80%,-0.384349814
Vallejo,California,"121,913",5.20%,62.60%,"$62,272.00",10.60%,34.8,15.40%,-0.380748189
Tulsa,Oklahoma,"400,669",2.20%,65.80%,"$44,577.00",19.80%,18.4,20.00%,-0.377577586
Cleveland Heights,Ohio,"44,373",-4.10%,62.80%,"$55,339.00",6.20%,23.3,18.70%,-0.377482487
Roanoke,Virginia,"99,920",3.10%,63.60%,"$41,483.00",15.90%,20.8,21.60%,-0.377455194
